Iterations,Activation,Dropout,Optimizer,lr_decay_val,Weight_Initialization,Train_loss,Train_accuracy,Test_loss,Test_accuracy
0,LeakyReLU,0.2,SGD,0.01,glorot_uniform,0.095464835,0.970716667,0.08720428,0.9708
1,LeakyReLU,0.2,SGD,0.01,RandomUniform,0.398764454,0.8868,0.378419526,0.8943
2,LeakyReLU,0.2,SGD,0.1,glorot_uniform,0.087513612,0.9734,0.07940736,0.9745
3,LeakyReLU,0.2,SGD,0.1,RandomUniform,0.255068028,0.9272,0.241367356,0.9345
4,LeakyReLU,0.2,SGD,0.5,glorot_uniform,0.082514242,0.97495,0.072520468,0.9772
5,LeakyReLU,0.2,SGD,0.5,RandomUniform,0.154831852,0.954516667,0.145208922,0.9557
6,LeakyReLU,0.2,Adadelta,0.01,glorot_uniform,2.032271061,0.551283333,2.022849717,0.5664
7,LeakyReLU,0.2,Adadelta,0.01,RandomUniform,2.30221951,0.112366667,2.302205232,0.1135
8,LeakyReLU,0.2,Adadelta,0.1,glorot_uniform,1.555623054,0.6747,1.548089216,0.6861
9,LeakyReLU,0.2,Adadelta,0.1,RandomUniform,2.302313418,0.112366667,2.302291515,0.1135
10,LeakyReLU,0.2,Adadelta,0.5,glorot_uniform,1.268183073,0.698966667,1.247811912,0.7064
11,LeakyReLU,0.2,Adadelta,0.5,RandomUniform,2.302124203,0.112366667,2.302103021,0.1135
12,LeakyReLU,0.2,Adam,0.01,glorot_uniform,0.004073944,0.999066667,0.024203964,0.9925
13,LeakyReLU,0.2,Adam,0.01,RandomUniform,0.00491711,0.998916667,0.019719297,0.9936
14,LeakyReLU,0.2,Adam,0.1,glorot_uniform,14.43509743,0.104416667,14.46115503,0.1028
15,LeakyReLU,0.2,Adam,0.1,RandomUniform,14.54631226,0.097516667,14.54819266,0.0974
16,LeakyReLU,0.2,Adam,0.5,glorot_uniform,14.51998605,0.09915,14.49177937,0.1009
17,LeakyReLU,0.2,Adam,0.5,RandomUniform,14.52697056,0.098716667,14.53852184,0.098
18,LeakyReLU,0.2,Adagrad,0.01,glorot_uniform,0.082265665,0.974533333,0.071857109,0.9759
19,LeakyReLU,0.2,Adagrad,0.01,RandomUniform,0.121286957,0.963866667,0.111187467,0.9651
20,LeakyReLU,0.2,Adagrad,0.1,glorot_uniform,14.51756834,0.0993,14.45470776,0.1032
21,LeakyReLU,0.2,Adagrad,0.1,RandomUniform,14.47109451,0.102183333,14.49016753,0.101
