ImageId,Actual,SAAK_Predicted,CNN_Predicted
1,7,7,7
2,2,2,2
3,1,1,1
4,0,0,0
5,4,4,4
6,1,1,1
7,4,4,4
8,9,9,9
9,5,5,5
10,9,9,9
11,0,0,0
12,6,6,6
13,9,9,9
14,0,0,0
15,1,1,1
16,5,5,5
17,9,9,9
18,7,7,7
19,3,3,3
20,4,4,4
21,9,9,9
22,6,6,6
23,6,6,6
24,5,5,5
25,4,4,4
26,0,0,0
27,7,7,7
28,4,4,4
29,0,0,0
30,1,1,1
31,3,3,3
32,1,1,1
33,3,3,3
34,4,4,4
35,7,7,7
36,2,2,2
37,7,7,7
38,1,1,1
39,2,2,2
40,1,1,1
41,1,1,1
42,7,7,7
43,4,4,4
44,2,2,2
45,3,3,3
46,5,5,5
47,1,1,1
48,2,2,2
49,4,4,4
50,4,4,4
51,6,6,6
52,3,3,3
53,5,5,5
54,5,5,5
55,6,6,6
56,0,0,0
57,4,4,4
58,1,1,1
59,9,9,9
60,5,5,5
61,7,7,7
62,8,8,8
63,9,9,9
64,3,3,3
65,7,7,7
66,4,4,4
67,6,6,6
68,4,4,4
69,3,3,3
70,0,0,0
71,7,7,7
72,0,0,0
73,2,2,2
74,9,9,9
75,1,1,1
76,7,7,7
77,3,3,3
78,2,2,2
79,9,9,9
80,7,7,7
81,7,7,7
82,6,6,6
83,2,2,2
84,7,7,7
85,8,8,8
86,4,4,4
87,7,7,7
88,3,3,3
89,6,6,6
90,1,1,1
91,3,3,3
92,6,6,6
93,9,9,9
94,3,3,3
95,1,1,1
96,4,4,4
97,1,1,1
98,7,7,7
99,6,6,6
100,9,9,9
101,6,6,6
102,0,0,0
103,5,5,5
104,4,4,4
105,9,9,9
106,9,9,9
107,2,2,2
108,1,1,1
109,9,9,9
110,4,4,4
111,8,8,8
112,7,7,7
113,3,3,3
114,9,9,9
115,7,7,7
116,4,4,4
117,4,4,4
118,4,4,4
119,9,9,9
120,2,2,2
121,5,5,5
122,4,4,4
123,7,7,7
124,6,6,6
125,7,7,7
126,9,9,9
127,0,0,0
128,5,5,5
129,8,8,8
130,5,5,5
131,6,6,6
132,6,6,6
133,5,5,5
134,7,7,7
135,8,8,8
136,1,1,1
137,0,0,0
138,1,1,1
139,6,6,6
140,4,4,4
141,6,6,6
